entity,type,indicator,fill_trust,state,days,total_pnl,avg_daily,sharpe,pnl_share_pct
BitcoinReaper_8_H1_BTCUSD.a_H1_OHLC,ea,BTC,low,crypto bull,1053,52499.56,49.86,2.85,55.9
BitcoinReaper_8_H1_BTCUSD.a_H1_OHLC,ea,US10Y,low,rates falling,716,34139.9,47.68,2.91,35.9
BitcoinReaper_8_H1_BTCUSD.a_H1_OHLC,ea,US10Y,low,rates rising,1165,60894.3,52.27,3.0,64.1
BitcoinReaper_8_H1_BTCUSD.a_H1_OHLC,ea,OIL,low,oil downtrend,928,45787.8,49.34,2.87,48.6
BitcoinReaper_8_H1_BTCUSD.a_H1_OHLC,ea,OIL,low,oil uptrend,850,48451.23,57.0,3.27,51.4
BitcoinReaper_8_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,calm,406,18164.97,44.74,2.72,17.8
BitcoinReaper_8_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,normal,1206,67312.32,55.81,3.2,65.8
BitcoinReaper_8_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,stressed,370,16828.62,45.48,3.02,16.4
BitcoinReaper_9_H1_BTCUSD.a_H1_OHLC,ea,DXY,low,strong dollar,988,27377.82,27.71,1.36,51.4
BitcoinReaper_9_H1_BTCUSD.a_H1_OHLC,ea,DXY,low,weak dollar,891,25848.76,29.01,1.54,48.6
BitcoinReaper_9_H1_BTCUSD.a_H1_OHLC,ea,SP500,low,stocks bear,379,13660.31,36.04,2.17,27.3
BitcoinReaper_9_H1_BTCUSD.a_H1_OHLC,ea,SP500,low,stocks bull,1397,36424.83,26.07,1.25,72.7
BitcoinReaper_9_H1_BTCUSD.a_H1_OHLC,ea,GOLD,low,gold downtrend,440,10261.05,23.32,1.11,20.5
BitcoinReaper_9_H1_BTCUSD.a_H1_OHLC,ea,GOLD,low,gold uptrend,1336,39824.09,29.81,1.51,79.5
BitcoinReaper_9_H1_BTCUSD.a_H1_OHLC,ea,BTC,low,crypto bear,786,17594.12,22.38,1.16,33.3
BitcoinReaper_9_H1_BTCUSD.a_H1_OHLC,ea,BTC,low,crypto bull,1053,35228.96,33.46,1.66,66.7
BitcoinReaper_9_H1_BTCUSD.a_H1_OHLC,ea,US10Y,low,rates falling,716,19333.06,27.0,1.44,36.3
BitcoinReaper_9_H1_BTCUSD.a_H1_OHLC,ea,US10Y,low,rates rising,1163,33893.52,29.14,1.45,63.7
BitcoinReaper_9_H1_BTCUSD.a_H1_OHLC,ea,OIL,low,oil downtrend,928,34937.5,37.65,1.92,69.8
BitcoinReaper_9_H1_BTCUSD.a_H1_OHLC,ea,OIL,low,oil uptrend,848,15147.64,17.86,0.87,30.2
BitcoinReaper_9_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,calm,405,15592.02,38.5,1.91,27.5
BitcoinReaper_9_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,normal,1205,33679.91,27.95,1.43,59.4
BitcoinReaper_9_H1_BTCUSD.a_H1_OHLC,ea,VIX,low,stressed,370,7470.69,20.19,1.14,13.2
BitcoinScalpPro_a_H1_BTCUSD.a_H1_OHLC,ea,DXY,medium,strong dollar,989,58592.89,59.24,3.74,61.1
BitcoinScalpPro_a_H1_BTCUSD.a_H1_OHLC,ea,DXY,medium,weak dollar,891,37374.11,41.95,2.61,38.9
BitcoinScalpPro_a_H1_BTCUSD.a_H1_OHLC,ea,SP500,medium,stocks bear,379,28536.46,75.29,4.84,29.7
BitcoinScalpPro_a_H1_BTCUSD.a_H1_OHLC,ea,SP500,medium,stocks bull,1398,67507.58,48.29,2.95,70.3
BitcoinScalpPro_a_H1_BTCUSD.a_H1_OHLC,ea,GOLD,medium,gold downtrend,441,32828.97,74.44,4.43,34.2
BitcoinScalpPro_a_H1_BTCUSD.a_H1_OHLC,ea,GOLD,medium,gold uptrend,1336,63215.07,47.32,2.96,65.8
BitcoinScalpPro_a_H1_BTCUSD.a_H1_OHLC,ea,BTC,medium,crypto bear,787,48882.63,62.11,3.94,51.2
BitcoinScalpPro_a_H1_BTCUSD.a_H1_OHLC,ea,BTC,medium,crypto bull,1053,46628.0,44.28,2.71,48.8
BitcoinScalpPro_a_H1_BTCUSD.a_H1_OHLC,ea,US10Y,medium,rates falling,716,23537.9,32.87,2.09,24.5
BitcoinScalpPro_a_H1_BTCUSD.a_H1_OHLC,ea,US10Y,medium,rates rising,1164,72429.1,62.22,3.87,75.5
