ea_id,strategy,family,symbol,timeframe,force_symbol,run_strategy,balance,risk_pct_target,hist_max_dd,lot_step,net_profit,realized_dd,realized_dd_pct,equity_dd_pct,trades,first_trade,last_trade,win_rate_pct,hist_max_loss_streak,hist_max_loss_streak_days,hist_max_streak_cost,hist_avg_loss_streak,hist_max_win_streak,largest_single_loss,dd_vs_target,report_path
GoldBotOne_dailyI_XAUUSD.a_Daily_EVERYTICKREAL,GoldBotOne_dailyI,Gold_UBSonechart_Sets,XAUUSD.a,Daily,XAUUSD.a,1,100000,5.0,83.0,1660.0,1687.18,594.23,0.59,0.91,17,2026-05-05 04:02:39,2026-08-11 03:11:43,52.9,3,3,591.74,1.6,4,425.5,0.12,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldBotOne_dailyI_XAUUSD.a_Daily_EVERYTICKREAL.htm
GoldBotOne_dailyK_XAUUSD.a_Daily_EVERYTICKREAL,GoldBotOne_dailyK,Gold_UBSonechart_Sets,XAUUSD.a,Daily,XAUUSD.a,1,100000,5.0,104.0,2080.0,3306.68,785.6,0.76,1.47,15,2026-05-05 04:37:28,2026-08-11 04:02:27,46.7,3,2,782.36,1.6,2,633.5,0.15,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldBotOne_dailyK_XAUUSD.a_Daily_EVERYTICKREAL.htm
GoldPhantom_Gold_a_XAUUSD.a_Daily_EVERYTICKREAL,GoldPhantom_Gold_a,Gold_UBSonechart_Sets,XAUUSD.a,Daily,XAUUSD.a,1,100000,5.0,30.0,600.0,5058.66,1215.92,1.18,2.72,12,2026-05-04 19:27:29,2026-08-05 13:12:41,50.0,3,3,1210.83,1.5,2,636.22,0.24,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldPhantom_Gold_a_XAUUSD.a_Daily_EVERYTICKREAL.htm
GoldPhantom_Gold_b_XAUUSD.a_Daily_EVERYTICKREAL,GoldPhantom_Gold_b,Gold_UBSonechart_Sets,XAUUSD.a,Daily,XAUUSD.a,1,100000,5.0,30.0,600.0,1386.79,1423.62,1.42,2.22,7,2026-05-05 04:02:42,2026-06-30 04:20:27,42.9,3,3,1418.57,2.0,3,822.41,0.28,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldPhantom_Gold_b_XAUUSD.a_Daily_EVERYTICKREAL.htm
GoldPhantom_Gold_c_XAUUSD.a_Daily_EVERYTICKREAL,GoldPhantom_Gold_c,Gold_UBSonechart_Sets,XAUUSD.a,Daily,XAUUSD.a,1,100000,5.0,50.0,1000.0,5691.61,954.85,0.95,1.63,15,2026-05-05 10:29:38,2026-08-11 08:11:37,60.0,3,3,951.8,1.5,4,851.45,0.19,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldPhantom_Gold_c_XAUUSD.a_Daily_EVERYTICKREAL.htm
GoldReaper_strategy1_Daily_XAUUSD.a_Daily_EVERYTICKREAL,GoldReaper_strategy1_Daily,Gold_UBSonechart_Sets,XAUUSD.a,Daily,XAUUSD.a,1,100000,5.0,60.0,1200.0,2978.01,792.0,0.76,2.08,6,2026-05-27 15:21:31,2026-06-30 08:16:40,83.3,1,1,790.6,1.0,5,790.6,0.15,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldReaper_strategy1_Daily_XAUUSD.a_Daily_EVERYTICKREAL.htm
GoldReaper_strategy2_Daily_XAUUSD.a_Daily_EVERYTICKREAL,GoldReaper_strategy2_Daily,Gold_UBSonechart_Sets,XAUUSD.a,Daily,XAUUSD.a,1,100000,5.0,30.0,600.0,8019.28,2.84,0.0,2.79,6,2026-05-18 03:56:29,2026-06-30 04:08:27,100.0,0,0,-0.0,0.0,6,0.0,,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldReaper_strategy2_Daily_XAUUSD.a_Daily_EVERYTICKREAL.htm
GoldReaper_strategy3_Daily_XAUUSD.a_Daily_EVERYTICKREAL,GoldReaper_strategy3_Daily,Gold_UBSonechart_Sets,XAUUSD.a,Daily,XAUUSD.a,1,100000,5.0,35.0,700.0,2434.59,862.83,0.86,1.78,8,2026-05-04 19:21:15,2026-08-05 09:21:54,75.0,2,2,856.41,2.0,6,849.43,0.17,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldReaper_strategy3_Daily_XAUUSD.a_Daily_EVERYTICKREAL.htm
GoldReaper_strategy4_H4_XAUUSD.a_H4_EVERYTICKREAL,GoldReaper_strategy4_H4,Gold_UBSonechart_Sets,XAUUSD.a,H4,XAUUSD.a,1,100000,5.0,52.0,1040.0,6650.27,2360.0,2.27,2.91,19,2026-05-05 04:08:39,2026-08-05 17:49:34,57.9,2,2,1014.22,1.14,2,772.73,0.45,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldReaper_strategy4_H4_XAUUSD.a_H4_EVERYTICKREAL.htm
GoldReaper_strategy5_H1_XAUUSD.a_H1_EVERYTICKREAL,GoldReaper_strategy5_H1,Gold_UBSonechart_Sets,XAUUSD.a,H1,XAUUSD.a,1,100000,5.0,110.0,2200.0,1269.3,823.55,0.82,1.18,32,2026-05-01 17:19:04,2026-08-12 19:59:04,75.0,2,2,821.73,1.33,8,821.73,0.16,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldReaper_strategy5_H1_XAUUSD.a_H1_EVERYTICKREAL.htm
GoldReaper_strategy6_H1_XAUUSD.a_H1_EVERYTICKREAL,GoldReaper_strategy6_H1,Gold_UBSonechart_Sets,XAUUSD.a,H1,XAUUSD.a,1,100000,5.0,140.0,2800.0,2918.55,561.46,0.54,0.83,30,2026-05-01 17:15:41,2026-08-12 21:09:45,86.7,1,1,560.79,1.0,18,560.79,0.11,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldReaper_strategy6_H1_XAUUSD.a_H1_EVERYTICKREAL.htm
GoldReaper_strategy7_H1_XAUUSD.a_H1_EVERYTICKREAL,GoldReaper_strategy7_H1,Gold_UBSonechart_Sets,XAUUSD.a,H1,XAUUSD.a,1,100000,5.0,90.0,1800.0,202.96,2264.68,2.22,3.22,31,2026-05-01 17:25:37,2026-08-12 19:56:42,77.4,2,1,1242.18,1.17,6,1242.18,0.44,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldReaper_strategy7_H1_XAUUSD.a_H1_EVERYTICKREAL.htm
GoldReaper_strategy8_H1_XAUUSD.a_H1_EVERYTICKREAL,GoldReaper_strategy8_H1,Gold_UBSonechart_Sets,XAUUSD.a,H1,XAUUSD.a,1,100000,5.0,130.0,2600.0,2970.73,715.68,0.71,1.13,40,2026-05-01 17:26:41,2026-08-12 16:00:39,25.0,8,5,712.44,3.75,3,710.13,0.14,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldReaper_strategy8_H1_XAUUSD.a_H1_EVERYTICKREAL.htm
GoldReaper_strategy9_H1_XAUUSD.a_H1_EVERYTICKREAL,GoldReaper_strategy9_H1,Gold_UBSonechart_Sets,XAUUSD.a,H1,XAUUSD.a,1,100000,5.0,700.0,14000.0,895.31,429.63,0.42,0.51,192,2026-05-01 08:15:00,2026-08-12 15:31:00,75.5,5,3,227.83,1.47,15,120.58,0.08,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldReaper_strategy9_H1_XAUUSD.a_H1_EVERYTICKREAL.htm
GoldScalp_H1_A_XAUUSD.a_H1_EVERYTICKREAL,GoldScalp_H1_A,Gold_UBSonechart_Sets,XAUUSD.a,H1,XAUUSD.a,1,100000,5.0,25.0,500.0,61632.0,1025.0,0.65,0.77,99,2026-05-01 17:00:44,2026-08-12 15:43:44,83.8,2,2,1011.0,1.14,36,1011.0,0.13,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldScalp_H1_A_XAUUSD.a_H1_EVERYTICKREAL.htm
GoldScalp_H1_B_XAUUSD.a_H1_EVERYTICKREAL,GoldScalp_H1_B,Gold_UBSonechart_Sets,XAUUSD.a,H1,XAUUSD.a,1,100000,5.0,30.0,600.0,55971.88,1391.91,0.91,1.64,100,2026-05-01 17:02:06,2026-08-12 15:43:42,91.0,1,1,847.43,1.0,41,847.43,0.18,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldScalp_H1_B_XAUUSD.a_H1_EVERYTICKREAL.htm
GoldScalp_H1_C_XAUUSD.a_H1_EVERYTICKREAL,GoldScalp_H1_C,Gold_UBSonechart_Sets,XAUUSD.a,H1,XAUUSD.a,1,100000,5.0,15.0,300.0,118160.7,2878.84,2.12,2.32,102,2026-05-01 17:12:38,2026-08-12 15:43:43,84.3,1,2,1043.96,1.0,15,1043.96,0.42,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\GoldScalp_H1_C_XAUUSD.a_H1_EVERYTICKREAL.htm
VolatilityBreakout_M5_C_XAUUSD.a_M5_EVERYTICKREAL,VolatilityBreakout_M5_C,Gold_UBSonechart_Sets,XAUUSD.a,M5,XAUUSD.a,2,100000,5.0,600.0,12000.0,935.24,654.78,0.65,1.05,13,2026-06-11 22:16:39,2026-08-07 17:04:43,46.2,3,2,653.82,1.4,2,230.45,0.13,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\VolatilityBreakout_M5_C_XAUUSD.a_M5_EVERYTICKREAL.htm
VolatilityBreakout_M5_E_XAUUSD.a_M5_EVERYTICKREAL,VolatilityBreakout_M5_E,Gold_UBSonechart_Sets,XAUUSD.a,M5,XAUUSD.a,2,100000,5.0,700.0,14000.0,30.09,561.97,0.56,0.95,5,2026-06-17 22:07:31,2026-08-10 04:05:38,40.0,2,2,561.41,1.5,2,290.44,0.11,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\Gold_UBSonechart_Sets\VolatilityBreakout_M5_E_XAUUSD.a_M5_EVERYTICKREAL.htm
