entity,type,indicator,state,days,total_pnl,avg_daily,sharpe,pnl_share_pct
Indicement_US500a_H1_US500.a_H1_EVERYTICKREAL,ea,OIL,oil uptrend,60,-622.29,-10.37,-0.91,52.8
Indicement_US500a_H1_US500.a_H1_EVERYTICKREAL,ea,VIX,calm,1,-307.54,-307.54,0.0,26.1
Indicement_US500a_H1_US500.a_H1_EVERYTICKREAL,ea,VIX,normal,76,-871.15,-11.46,-1.0,73.9
Indicement_US500b_M15_US500.a_M15_EVERYTICKREAL,ea,DXY,strong dollar,69,-1998.97,-28.97,-2.96,82.5
Indicement_US500b_M15_US500.a_M15_EVERYTICKREAL,ea,DXY,weak dollar,6,-424.14,-70.69,-7.1,17.5
Indicement_US500b_M15_US500.a_M15_EVERYTICKREAL,ea,SP500,stocks bull,75,-2423.11,-32.31,-3.28,100.0
Indicement_US500b_M15_US500.a_M15_EVERYTICKREAL,ea,GOLD,gold downtrend,52,-1900.78,-36.55,-4.19,78.4
Indicement_US500b_M15_US500.a_M15_EVERYTICKREAL,ea,GOLD,gold uptrend,23,-522.33,-22.71,-1.9,21.6
Indicement_US500b_M15_US500.a_M15_EVERYTICKREAL,ea,BTC,crypto bear,75,-2423.11,-32.31,-3.28,100.0
Indicement_US500b_M15_US500.a_M15_EVERYTICKREAL,ea,US10Y,rates rising,75,-2423.11,-32.31,-3.28,100.0
Indicement_US500b_M15_US500.a_M15_EVERYTICKREAL,ea,OIL,oil downtrend,17,-271.11,-15.95,-1.22,11.2
Indicement_US500b_M15_US500.a_M15_EVERYTICKREAL,ea,OIL,oil uptrend,58,-2152.0,-37.1,-4.29,88.8
Indicement_US500b_M15_US500.a_M15_EVERYTICKREAL,ea,VIX,calm,2,-200.73,-100.36,-15.87,8.3
Indicement_US500b_M15_US500.a_M15_EVERYTICKREAL,ea,VIX,normal,73,-2222.38,-30.44,-3.08,91.7
Indicement_US500c_M15_US500.a_M15_EVERYTICKREAL,ea,DXY,strong dollar,59,-176.76,-3.0,-0.32,32.1
Indicement_US500c_M15_US500.a_M15_EVERYTICKREAL,ea,DXY,weak dollar,4,-374.43,-93.61,-9.17,67.9
Indicement_US500c_M15_US500.a_M15_EVERYTICKREAL,ea,SP500,stocks bull,63,-551.19,-8.75,-0.91,100.0
Indicement_US500c_M15_US500.a_M15_EVERYTICKREAL,ea,GOLD,gold downtrend,41,-505.12,-12.32,-1.4,91.6
Indicement_US500c_M15_US500.a_M15_EVERYTICKREAL,ea,GOLD,gold uptrend,22,-46.07,-2.09,-0.19,8.4
Indicement_US500c_M15_US500.a_M15_EVERYTICKREAL,ea,BTC,crypto bear,63,-551.19,-8.75,-0.91,100.0
Indicement_US500c_M15_US500.a_M15_EVERYTICKREAL,ea,US10Y,rates rising,63,-551.19,-8.75,-0.91,100.0
Indicement_US500c_M15_US500.a_M15_EVERYTICKREAL,ea,OIL,oil downtrend,15,400.77,26.72,2.07,-72.7
Indicement_US500c_M15_US500.a_M15_EVERYTICKREAL,ea,OIL,oil uptrend,48,-951.96,-19.83,-2.42,172.7
Indicement_US500c_M15_US500.a_M15_EVERYTICKREAL,ea,VIX,normal,63,-551.19,-8.75,-0.91,100.0
Indicement_US500d_H1_US500.a_H1_EVERYTICKREAL,ea,DXY,strong dollar,62,-643.46,-10.38,-1.92,117.4
Indicement_US500d_H1_US500.a_H1_EVERYTICKREAL,ea,DXY,weak dollar,5,95.21,19.04,7.94,-17.4
Indicement_US500d_H1_US500.a_H1_EVERYTICKREAL,ea,SP500,stocks bull,67,-548.25,-8.18,-1.56,100.0
Indicement_US500d_H1_US500.a_H1_EVERYTICKREAL,ea,GOLD,gold downtrend,44,-203.77,-4.63,-0.85,37.2
Indicement_US500d_H1_US500.a_H1_EVERYTICKREAL,ea,GOLD,gold uptrend,23,-344.48,-14.98,-3.06,62.8
Indicement_US500d_H1_US500.a_H1_EVERYTICKREAL,ea,BTC,crypto bear,67,-548.25,-8.18,-1.56,100.0
Indicement_US500d_H1_US500.a_H1_EVERYTICKREAL,ea,US10Y,rates rising,67,-548.25,-8.18,-1.56,100.0
Indicement_US500d_H1_US500.a_H1_EVERYTICKREAL,ea,OIL,oil downtrend,15,-481.55,-32.1,-5.79,87.8
Indicement_US500d_H1_US500.a_H1_EVERYTICKREAL,ea,OIL,oil uptrend,52,-66.7,-1.28,-0.25,12.2
